Priority,Lead Type,Company / Entity,Contact Person,Area / Locality,City / District,State,Phone,Email,Website,Why It Matters,Source 1,Source 2,Notes
19,Manufacturer / wholesale supplier,Madhubani Makhana Pvt. Ltd.,,Gandhi Chowk / ICICI Bank area,Madhubani,Bihar,+91 8102926892; +91 8102926899,madhubani@makhana.com; info@makhana.com,https://www.makhana.com/contactus,One of the best-known Madhubani makhana suppliers with wholesale positioning and long-standing farm network.,https://www.makhana.com/contactus,https://madhubani.makhana.com/contactus,High-confidence Bihar source and buyer/distributor relationship lead.
20,Manufacturer / supplier / trader,Maithil Makhana,Prashant Singh; Amit Chauhan; Kaushiki Kumariii,"Laheriasarai, Litchi Gatchi",Darbhanga,Bihar,+91 9798883085; +91 9117268338,makhanamaithil162@gmail.com,https://www.maithilmakhana.in/,Darbhanga-based dedicated makhana manufacturer and trader with grade-wise product range and direct bulk contact details.,https://www.maithilmakhana.in/,https://www.maithilmakhana.in/contact-us.htm,Strong East Bihar lead.
21,Manufacturer / exporter / supplier,Mithila Makhana,Ayush Kumar,"Punaichak Road No. 1, Bailey Road",Patna,Bihar,,mithilamakhana279@gmail.com,https://www.mithilamakhana.co.in/,Patna-based manufacturer/exporter/supplier with bulk-grade makhana and exporter positioning.,https://www.mithilamakhana.co.in/,https://www.mithilamakhana.co.in/contact-us.htm,Email visible; phone is hidden behind view-number.
22,Brand / wholesale supplier,Mithila Makhana Pvt. Ltd.,,"ICICI Bank, Gandhi Chowk",Madhubani,Bihar,+91 94728 02233; +91 97983 24281,info@mithilafoxnuts.com; makhana.mithila@gmail.com,https://mithilafoxnuts.com/contact/,Premium consumer and wholesale makhana brand with direct bulk/wholesale FAQ and visible buyer contacts.,https://mithilafoxnuts.com/contact/,,Good bridge between branded and bulk channels.
23,Farm-to-market supplier,Mithila Agri Foods,,"Vill Mahathwar, Ghanshyampur",Darbhanga,Bihar,+91 9540514448; +91 9717566230,info@mithilaagrifoods.com,https://mithilaagrifoods.com/makhana/,Agri-products supplier directly listing makhana with bulk call-to-action and Darbhanga operations.,https://mithilaagrifoods.com/makhana/,,Good Darbhanga trade lead.
24,Manufacturer / supplier,Mithila Makhana Udyog,,"Satlakha, Rahika",Madhubani,Bihar,6202566163; 7549472796,mithilamakhanaudyog@gmail.com,https://www.mithilamakhanaudyog.com/,Active Madhubani-based makhana supplier with direct office contact details and local processing positioning.,https://www.mithilamakhanaudyog.com/,,Useful for source-region trade relationships.
25,Farmer-owned brand / processing lead,Makhana Farm / Bihar Makhana,,Beloun,Darbhanga,Bihar,+91 9711124486,info@makhanafarm.com,https://www.makhanafarm.com/makhana-contact,Farmer-owned makhana brand with processing-unit contact and strong collective/farmer-owned positioning.,https://www.makhanafarm.com/makhana-contact,https://makhana.org.in/contact-us/,Could be relevant for larger organized sourcing or placement.
26,Brand / B2B supplier,MBA Makhana Wala,,"B-HUB Block A, Maurya Lok Complex",Patna,Bihar,+91 7905613306,contact@mbamakhanawala.com,https://www.mbamakhanawala.com/,"Emerging Patna brand with franchise and B2B posture, suitable for channel or placement conversations.",https://www.mbamakhanawala.com/,,Useful for packaged/brand channel exploration.
27,Manufacturer / trader / distributor,Maruti Makhana,Vikram Kumar; Shreya Raj,Bara Bazar / Cosmos Building,Madhubani,Bihar,9534343449; 08048950916,,https://marutimakhana.com/contact/,Large established makhana player with trading and manufacturing history and significant market presence.,https://marutimakhana.com/contact/,https://www.marutimakhana.in/,"Well-known operator; IndiaMART number is proxy, direct phone from website preferred."
28,Manufacturer / supplier,S S Mithila Makhana,Chandan Kumar,Jhanjharpur,Madhubani,Bihar,+91 8292706016,Kumar.chandan0301@gmail.com,https://www.ssmithilamakhana.co.in/,"Fresh Madhubani supplier with direct mobile and email, suitable for rapid outreach.",https://www.ssmithilamakhana.co.in/,,Useful source-region counterpart or channel buyer.
29,Manufacturer / exporter,ST Makhana,Aman Shah,"Sahu Market, Mirsafayat Road, Purani Godam",Gaya,Bihar,+91 8969825158,Stmakhana.info@gmail.com,https://www.stmakhana.com/,Export-oriented bulk supplier with certifications and explicit domestic/international enquiry desk.,https://www.stmakhana.com/,,Website markets Purnia sourcing but contact office appears in Gaya.
30,Manufacturer / supplier,Makhana Haat,,"Kamat, Post Mirganj, Block Dhamdaha",Purnia,Bihar,+91 9241306012,makhanahaat@gmail.com,https://makhanahaat.com/,Dedicated Purnia supplier serving wholesalers and distributors nationwide with custom packaging.,https://makhanahaat.com/,,Strong East Bihar lead.
31,Manufacturer / wholesale supplier,KBC Makhana,Saransh Agarwal,"Bara Bazar, Durgapur; Tajganj; Harda Bazar",Katihar / Purnia,Bihar,(06452) 248601; 242601; +91 8298877777; 7903618839,care@kbcmakhana.com,https://kbcmakhana.com/,Katihar-Purnia cluster player with clear brand portfolio and routes into South India and Assam.,https://kbcmakhana.com/,,"Website says marketed in South India and Assam via TruePDI Automotive Pvt Ltd, Bhubaneswar."
