Priority,Lead Type,Company / Entity,Contact Person,Area / Locality,City / District,State,Phone,Email,Website,Why It Matters,Source 1,Source 2,Notes
1,Local processor / trader,Makhana Foodgrains Pvt. Ltd.,Basant Kedia,Kamal Para / Harishchandrapur belt,Malda,West Bengal,+91 9733120017; +91 7548998798,Makhanafoodgrains@gmail.com,https://makhanafoodgrains.in/contact-us/,Strong local processor-trader footprint; public materials say sourcing from 500+ farmers around Harishchandrapur and nearby areas.,https://makhanafoodgrains.in/contact-us/,https://www.indiamart.com/makhana-foodgrains-private-limited/,Highest-priority local operating contact.
2,Wholesaler / distributor,Maa Laxmi Agro Products,Basant Kedia,"Barduary Road, Harishchandrapur",Malda,West Bengal,07942792842,,https://www.makhanasupplier.com/,IndiaMART-listed wholesaler/distributor with stated turnover band of Rs 5-25 Cr and active grade-wise makhana listings.,https://www.makhanasupplier.com/,,Likely overlapping network with Makhana Foodgrains.
3,Brand / processor,WhiteCrop,,"Sonapur, Kariali",Malda,West Bengal,+91 72078 98956,[email protected],https://whitecrops.com/,"Malda-based brand with raw, roasted, flavored, and private-label style positioning.",https://whitecrops.com/,https://www.whitecrops.com/products.html,Useful for brand/channel partnerships or competitive mapping.
4,Exporter / wholesaler,NILUMA FOODS,Masum Ali,Chanchal,Malda,West Bengal,,,https://niluma.linker.store/,Merchant exporter and wholesaler publicly listing phool makhana and other agri food products.,https://www.msmemart.com/member/aboutus/295014/niluma-foods,https://fieo.globallinker.com/network/profile/masum-ali/544643,Good export-facing lead in Malda.
5,Exporter / supplier,Brother Exim Agency,Ali Akbar Ahmed,"Near Kumedpur Railway Station, Sadlichak, P.S. Harishchandrapur",Malda,West Bengal,,,,Exporter/supplier in Malda already listing fox nuts as traded/exported product.,https://www.tradeindia.com/products/fox-nuts-makhana-c5566476.html,,Relevant if you want local export/trade buyers.
6,Manufacturer / supplier,Binita Enterprise,Mrs Binita Das,"Barduary, Harish Chandrapur",Malda,West Bengal,,,,Small local manufacturer/supplier; useful as a local trade relationship or overflow buyer.,https://www.tradeindia.com/binita-enterprise-19295470/,https://www.tradeindia.com/binita-enterprise-19295470/makhana.html,Local network-building lead.
7,Trader / supplier,Eftekar Alam & Co.,Mr. Eftekar Alam,"Kumedpur, Natun Sadlichak, Harishchandrapur",Malda,West Bengal,,,,Actively listing multiple makhana grades and MOQs on TradeIndia.,https://www.tradeindia.com/eftekar-alam-co-21178953/makhana.html,,Good for local market checks and buy-sell placement.
8,Farm / seller,Diamond Makhana Farm,Mr. Ghualam Mustafa,"Harishchandrapur, Post Malkhan",Malda,West Bengal,,,,Local makhana farm / seller with public product-service page.,https://www.tradeindia.com/diamond-makhana-farm-28352659/product-services.html,,Useful for local supply-side mapping and secondary buyer network.
9,Trader,MSK ENTERPRISES,Mabut SK,"Mozampur, Haruchak, Kaliachak",Malda,West Bengal,,,,Wider agri trader with makhana listed as one of the products.,https://www.exportersindia.com/msk-traders/,,Secondary local lead.
10,Distributor / channel buyer,Raiganj Enterprise,Prasenjit Mallick,"N. S. Road, Mohanbati",Raiganj,West Bengal,,,,"Distributor of food products, biscuits, and snacks; plausible packaged makhana channel buyer.",https://www.tradeindia.com/raiganj-enterprise-19839576/,,Good Raiganj distribution lead.
11,Wholesale market lead,Nayan Fruit Store (Ns),,"Sarai Bypass, Rupahar",Raiganj,West Bengal,,,https://www.justdial.com/Raiganj/Nayan-Fruit-Store-Ns-Rupahar/9999P3523-3523-240103043810-T2A8_BZDET,Wholesale market lead for testing dry-fruit placement or channel pull in Raiganj.,https://www.justdial.com/Raiganj/Nayan-Fruit-Store-Ns-Rupahar/9999P3523-3523-240103043810-T2A8_BZDET,,More relevant for placement than direct bulk sourcing.
12,North Bengal market lead,Shanti Store,,Mallaguri,Siliguri,West Bengal,08488960931,,https://www.justdial.com/Siliguri/Shanti-Store-Near-High-Extension-Poll-Mallaguri/9999PX353-X353-231230091346-N5Z6_BZDET,Nearby North Bengal trade hub lead if you want distribution beyond Raiganj.,https://www.justdial.com/Siliguri/Shanti-Store-Near-High-Extension-Poll-Mallaguri/9999PX353-X353-231230091346-N5Z6_BZDET,,Regional channel lead.
13,Exporter / trader,Whole Foods Agro,Debasre Sarkar,"Maharshi Debendra Road, Barabazar",Kolkata,West Bengal,,wholefoodsagro@gmail.com,https://www.wholefoodsagro.in/,Exporter/supplier/trader with global-market positioning and direct makhana offering.,https://www.wholefoodsagro.in/,,Strong Kolkata channel/export lead.
14,Export-focused buyer / processor,Satviki Exports,,Fairlie Place,Kolkata,West Bengal,+91 82397 05390; +91 98306 55390,info@satvikiexports.com,https://www.satvikiexports.com/,Export-focused buyer/processor with Bihar factory linkage.,https://www.satvikiexports.com/,,Good outbound/export buyer lead.
15,Packaged food buyer / brand,Indusland Food Products Pvt. Ltd.,,"Bosepukur Road, Kasba",Kolkata,West Bengal,033 4504 0300; 86973 38722,info@induslandfood.com,https://www.induslandfood.com/,Packaged food company already selling roasted makhana and other healthy snack lines.,https://www.induslandfood.com/,,Good for packed or flavored SKU discussions.
16,Wholesale brand buyer,Chappan Bhog Makhana,,Kolkata,Kolkata,West Bengal,+91 8820248035; +91 8017352823,kkproductinfo@gmail.com,https://chappanbhog.co/pages/wholesale,Active branded makhana business with a dedicated wholesale page.,https://chappanbhog.co/pages/contacts,https://chappanbhog.co/pages/wholesale,Good branded wholesale channel.
17,Regional food products company,DNV Food Products Pvt. Ltd.,,AJC Bose Road,Kolkata,West Bengal,8232020551,dnvfoods@dnvfoods.com,https://www.dnvfoods.com/,Large regional food company with makhana in product range.,https://www.dnvfoods.com/wp-content/uploads/2021/07/DNV-FOOD-PRODUCTS-BROCHURE.pdf,https://www.dnvfoods.com/,Strong packaged-channel lead.
18,Trade inquiry desk,Makhana.org,,Kolkata office plus other offices,Kolkata,West Bengal,+91 9711124486,info@makhana.org.in,https://makhana.org.in/contact-us/,Broader makhana trade inquiry desk that may open buyer or export introductions.,https://makhana.org.in/contact-us/,,Useful for introductions rather than direct recurring buy.
19,Manufacturer / wholesale supplier,Madhubani Makhana Pvt. Ltd.,,Gandhi Chowk / ICICI Bank area,Madhubani,Bihar,+91 8102926892; +91 8102926899,madhubani@makhana.com; info@makhana.com,https://www.makhana.com/contactus,One of the best-known Madhubani makhana suppliers with wholesale positioning and long-standing farm network.,https://www.makhana.com/contactus,https://madhubani.makhana.com/contactus,High-confidence Bihar source and buyer/distributor relationship lead.
20,Manufacturer / supplier / trader,Maithil Makhana,Prashant Singh; Amit Chauhan; Kaushiki Kumariii,"Laheriasarai, Litchi Gatchi",Darbhanga,Bihar,+91 9798883085; +91 9117268338,makhanamaithil162@gmail.com,https://www.maithilmakhana.in/,Darbhanga-based dedicated makhana manufacturer and trader with grade-wise product range and direct bulk contact details.,https://www.maithilmakhana.in/,https://www.maithilmakhana.in/contact-us.htm,Strong East Bihar lead.
